"Year","Distance","BLOCK","avg.index"
2004,"other",1460,274.355226593489
2004,"other",1415,274.355226593489
2004,"other",1416,274.355226593489
2004,"other",1417,274.355226593489
2004,"other",1418,274.355226593489
2004,"other",1419,274.355226593489
2004,"other",1421,274.355226593489
2004,"other",1637,274.355226593489
2004,"other",1638,274.355226593489
2004,"other",1639,274.355226593489
2004,"other",1643,274.355226593489
2004,"other",1644,274.355226593489
2004,"other",1645,274.355226593489
2004,"other",1655,274.355226593489
2004,"other",1659,274.355226593489
2004,"other",1660,274.355226593489
2004,"other",1661,274.355226593489
2004,"other",1665,274.355226593489
2004,"other",1435,274.355226593489
2004,"other",1436,274.355226593489
2004,"other",1437,274.355226593489
2004,"other",1438,274.355226593489
2004,"other",1439,274.355226593489
2004,"other",1440,274.355226593489
2004,"other",1441,274.355226593489
2004,"other",1680,274.355226593489
2004,"other",1681,274.355226593489
2004,"other",1603,274.355226593489
2004,"other",1604,274.355226593489
2004,"other",1607,274.355226593489
2004,"other",1688,274.355226593489
2004,"other",1708,274.355226593489
2004,"other",1709,274.355226593489
2004,"other",1710,274.355226593489
2004,"other",1711,274.355226593489
2004,"other",1715,274.355226593489
2004,"other",1722,274.355226593489
2004,"other",1725,274.355226593489
2004,"other",1729,274.355226593489
2004,"other",1745,274.355226593489
2004,"other",1746,274.355226593489
2004,"other",1631,274.355226593489
2004,"other",1632,274.355226593489
2004,"other",1633,274.355226593489
2004,"other",1634,274.355226593489
2004,"other",1635,274.355226593489
2004,"other",1636,274.355226593489
2004,"other",1754,274.355226593489
2004,"other",1755,274.355226593489
2004,"other",1767,274.355226593489
2004,"other",1768,274.355226593489
2004,"other",1677,274.355226593489
2004,"other",1796,274.355226593489
2004,"other",1806,274.355226593489
2004,"other",1682,274.355226593489
2004,"other",1683,274.355226593489
2004,"other",1687,274.355226593489
2004,"other",2119,274.355226593489
2004,"other",1666,274.355226593489
2004,"other",1667,274.355226593489
2004,"other",1671,274.355226593489
2004,"other",1674,274.355226593489
2004,"other",1675,274.355226593489
2004,"other",1676,274.355226593489
2004,"other",1623,274.355226593489
2004,"other",1625,274.355226593489
2004,"other",1628,274.355226593489
