"Year","Block","Total","index","Distance","avg.index"
2002,1393,31,-0.311111111111111,"4-5 blocks left",0.070687751877067
2002,1395,34,0.214285714285714,"other",0.552239650630474
2002,1396,24,-0.333333333333333,"other",0.552239650630474
2002,1397,28,0.272727272727273,"other",0.552239650630474
2002,1398,34,0.133333333333333,"other",0.552239650630474
2002,1399,34,0.172413793103448,"other",0.552239650630474
2002,1400,41,-0.388059701492537,"other",0.552239650630474
2002,1401,22,0.692307692307692,"other",0.552239650630474
2002,1402,31,0.291666666666667,"other",0.552239650630474
2002,1403,19,0.0555555555555556,"2-3 blocks left",0.0860713960748979
2002,1404,38,-0.396825396825397,"2-3 blocks left",0.0860713960748979
2002,1405,22,-0.153846153846154,"2-3 blocks left",0.0860713960748979
2002,1406,30,-0.0625,"2-3 blocks left",0.0860713960748979
2002,1407,26,-0.434782608695652,"2-3 blocks left",0.0860713960748979
2002,1408,44,0.0731707317073171,"2-3 blocks left",0.0860713960748979
2002,1409,45,0.0465116279069768,"2-3 blocks left",0.0860713960748979
2002,1410,31,1.06666666666667,"2-3 blocks left",0.0860713960748979
2002,1411,41,0.32258064516129,"2-3 blocks left",0.0860713960748979
2002,1412,39,0.258064516129032,"2-3 blocks left",0.0860713960748979
2002,1413,46,0.0454545454545454,"2-3 blocks left",0.0860713960748979
2002,1415,21,-0.222222222222222,"other",0.552239650630474
2002,1416,7,-0.461538461538462,"other",0.552239650630474
2002,1417,20,0.333333333333333,"other",0.552239650630474
2002,1418,23,0.277777777777778,"other",0.552239650630474
2002,1419,27,0.35,"other",0.552239650630474
2002,1420,3,-0.25,"other",0.552239650630474
2002,1421,12,-0.428571428571429,"other",0.552239650630474
2002,1422,34,0.619047619047619,"other",0.552239650630474
2002,1423,26,1.36363636363636,"1 block",0.222498386314012
2002,1424,36,1,"1 block",0.222498386314012
2002,1425,11,0.571428571428571,"1 block",0.222498386314012
2002,1426,21,0.3125,"1 block",0.222498386314012
2002,1427,27,0.5,"1 block",0.222498386314012
2002,1428,28,0,"1 block",0.222498386314012
2002,1429,18,1,"1 block",0.222498386314012
2002,1430,8,-0.724137931034483,"1 block",0.222498386314012
2002,1431,30,2.75,"1 block",0.222498386314012
2002,1432,36,1,"1 block",0.222498386314012
2002,1433,29,0.0357142857142858,"1 block",0.222498386314012
2002,1435,11,0.1,"other",0.552239650630474
2002,1436,18,1,"other",0.552239650630474
2002,1437,25,0.785714285714286,"other",0.552239650630474
2002,1438,14,0.0769230769230769,"other",0.552239650630474
2002,1439,21,0.105263157894737,"other",0.552239650630474
2002,1440,22,0.294117647058824,"other",0.552239650630474
2002,1441,29,1.63636363636364,"other",0.552239650630474
2002,1442,1,-0.8,"other",0.552239650630474
2002,1443,21,-0.192307692307692,"1 block",0.222498386314012
2002,1444,18,-0.333333333333333,"1 block",0.222498386314012
2002,1445,8,-0.111111111111111,"1 block",0.222498386314012
2002,1446,14,-0.461538461538462,"1 block",0.222498386314012
2002,1447,25,-0.0740740740740741,"1 block",0.222498386314012
2002,1448,14,-0.416666666666667,"1 block",0.222498386314012
2002,1449,11,-0.5,"1 block",0.222498386314012
2002,1450,21,-0.0454545454545454,"1 block",0.222498386314012
2002,1451,50,0.515151515151515,"1 block",0.222498386314012
2002,1452,27,0.173913043478261,"1 block",0.222498386314012
2002,1453,16,-0.0588235294117647,"1 block",0.222498386314012
2002,1456,12,-0.5,"other",0.552239650630474
2002,1457,8,-0.68,"other",0.552239650630474
2002,1458,11,0,"other",0.552239650630474
2002,1460,17,0,"other",0.552239650630474
2002,1461,7,0.75,"other",0.552239650630474
2002,1462,79,0.0972222222222223,"other",0.552239650630474
2002,1463,18,2,"2 blocks right",0.111528399787671
2002,1464,18,1,"2 blocks right",0.111528399787671
2002,1465,11,-0.0833333333333334,"2 blocks right",0.111528399787671
2002,1466,22,0.222222222222222,"2 blocks right",0.111528399787671
2002,1467,9,-0.5,"2 blocks right",0.111528399787671
2002,1468,6,-0.6,"2 blocks right",0.111528399787671
2002,1469,10,-0.772727272727273,"2 blocks right",0.111528399787671
2002,1470,22,0.1,"2 blocks right",0.111528399787671
2002,1471,21,0,"2 blocks right",0.111528399787671
2002,1472,20,-0.0476190476190477,"2 blocks right",0.111528399787671
2002,1473,17,0.133333333333333,"2 blocks right",0.111528399787671
2002,1474,8,1,"other",0.552239650630474
2002,1475,3,-0.4,"other",0.552239650630474
2002,1480,88,0.27536231884058,"3-4 blocks right",0.091752773180572
2002,1482,14,-0.263157894736842,"3-4 blocks right",0.091752773180572
2002,1483,33,0.375,"3-4 blocks right",0.091752773180572
2002,1484,15,0.5,"3-4 blocks right",0.091752773180572
2002,1485,10,-0.230769230769231,"3-4 blocks right",0.091752773180572
2002,1486,6,0,"3-4 blocks right",0.091752773180572
2002,1487,26,0.368421052631579,"3-4 blocks right",0.091752773180572
2002,1489,18,-0.25,"3-4 blocks right",0.091752773180572
2002,1490,10,-0.5,"3-4 blocks right",0.091752773180572
2002,1491,48,-0.142857142857143,"4-5 blocks left",0.070687751877067
2002,1492,26,-0.1875,"4-5 blocks left",0.070687751877067
2002,1493,31,0.291666666666667,"4-5 blocks left",0.070687751877067
2002,1494,49,0.0208333333333333,"4-5 blocks left",0.070687751877067
2002,1495,29,-0.325581395348837,"4-5 blocks left",0.070687751877067
2002,1496,31,-0.261904761904762,"4-5 blocks left",0.070687751877067
2002,1497,60,0.395348837209302,"4-5 blocks left",0.070687751877067
2002,1498,65,0,"4-5 blocks left",0.070687751877067
2002,1499,54,0.173913043478261,"4-5 blocks left",0.070687751877067
2002,1500,57,0.0754716981132075,"4-5 blocks left",0.070687751877067
2002,1501,55,0.145833333333333,"4-5 blocks left",0.070687751877067
2002,1502,15,-0.571428571428571,"4-5 blocks left",0.070687751877067
2002,1503,81,1.7,"4-5 blocks left",0.070687751877067
2002,1504,48,0.230769230769231,"4-5 blocks left",0.070687751877067
2002,1505,44,0.157894736842105,"4-5 blocks left",0.070687751877067
2002,1506,49,0.0652173913043479,"4-5 blocks left",0.070687751877067
2002,1507,50,0.136363636363636,"4-5 blocks left",0.070687751877067
2002,1508,38,0.225806451612903,"2-3 blocks left",0.0860713960748979
2002,1509,6,-0.7,"2-3 blocks left",0.0860713960748979
2002,1510,43,0.264705882352941,"2-3 blocks left",0.0860713960748979
2002,1511,46,-0.0612244897959183,"2-3 blocks left",0.0860713960748979
2002,1512,22,-0.435897435897436,"2-3 blocks left",0.0860713960748979
2002,1513,44,2.66666666666667,"2-3 blocks left",0.0860713960748979
2002,1514,56,0.244444444444444,"2-3 blocks left",0.0860713960748979
2002,1515,66,0.11864406779661,"2-3 blocks left",0.0860713960748979
2002,1516,17,-0.291666666666667,"2-3 blocks left",0.0860713960748979
2002,1517,26,-0.315789473684211,"2-3 blocks left",0.0860713960748979
2002,1518,35,-0.25531914893617,"2-3 blocks left",0.0860713960748979
2002,1519,44,0.62962962962963,"2-3 blocks left",0.0860713960748979
2002,1520,21,0,"2-3 blocks left",0.0860713960748979
2002,1521,34,-0.170731707317073,"2-3 blocks left",0.0860713960748979
2002,1522,33,0.32,"2-3 blocks left",0.0860713960748979
2002,1523,7,-0.533333333333333,"2-3 blocks left",0.0860713960748979
2002,1524,9,-0.307692307692308,"2-3 blocks left",0.0860713960748979
2002,1525,33,0.222222222222222,"1 block",0.222498386314012
2002,1526,10,0.25,"1 block",0.222498386314012
2002,1527,20,0,"1 block",0.222498386314012
2002,1528,11,-0.56,"1 block",0.222498386314012
2002,1529,17,0.214285714285714,"1 block",0.222498386314012
2002,1530,24,0.411764705882353,"1 block",0.222498386314012
2002,1531,21,-0.192307692307692,"1 block",0.222498386314012
2002,1532,18,0.285714285714286,"1 block",0.222498386314012
2002,1533,7,0,"1 block",0.222498386314012
2002,1534,10,0.428571428571429,"1 block",0.222498386314012
2002,1535,19,0.9,"1 block",0.222498386314012
2002,1536,4,0,"1 block",0.222498386314012
2002,1537,5,0,"1 block",0.222498386314012
2002,1538,3,-0.4,"1 block",0.222498386314012
2002,1539,15,1.5,"1 block",0.222498386314012
2002,1540,18,0.125,"1 block",0.222498386314012
2002,1541,2,0,"1 block",0.222498386314012
2002,1542,32,0.142857142857143,"1 block",0.222498386314012
2002,1543,11,-0.421052631578947,"1 block",0.222498386314012
2002,1544,59,0.311111111111111,"1 block",0.222498386314012
2002,1545,15,0.363636363636364,"1 block",0.222498386314012
2002,1546,11,-0.352941176470588,"1 block",0.222498386314012
2002,1547,20,0,"1 block",0.222498386314012
2002,1548,19,0.266666666666667,"1 block",0.222498386314012
2002,1549,20,1,"1 block",0.222498386314012
2002,1550,14,-0.0666666666666667,"1 block",0.222498386314012
2002,1551,12,-0.368421052631579,"1 block",0.222498386314012
2002,1552,29,0.705882352941176,"1 block",0.222498386314012
2002,1553,29,-0.0333333333333333,"1 block",0.222498386314012
2002,1554,6,-0.727272727272727,"1 block",0.222498386314012
2002,1555,24,0.846153846153846,"1 block",0.222498386314012
2002,1556,22,0.692307692307692,"1 block",0.222498386314012
